symbol,R1,R2,R3,S1,S2,S3
360ONE,1133.7575,1139.615,1145.4725,1122.0425,1116.185,1110.3275
3MINDIA,34821.04167,34892.08333,34963.125,34678.95833,34607.91667,34536.875
AADHARHFC,481.9,482.45,483,480.8,480.25,479.7
AARTIIND,370.0395833,370.4291667,370.81875,369.2604167,368.8708333,368.48125
AAVAS,1485.565,1489.03,1492.495,1478.635,1475.17,1471.705
ABB,5180.475,5188.45,5196.425,5164.525,5156.55,5148.575
ABBOTINDIA,28888.5,28927,28965.5,28811.5,28773,28734.5
ACC,1818.490833,1821.781667,1825.0725,1811.909167,1808.618333,1805.3275
ACMESOLAR,219.7148333,220.1896667,220.6645,218.7651667,218.2903333,217.8155
ACE,978.09375,979.5375,980.98125,975.20625,973.7625,972.31875
ADANIENSOL,972.95125,974.2025,975.45375,970.44875,969.1975,967.94625
ADANIENT,2222.3275,2226.755,2231.1825,2213.4725,2209.045,2204.6175
ADANIGREEN,1015.260833,1017.121667,1018.9825,1011.539167,1009.678333,1007.8175
ADANIPORTS,1507.3325,1509.065,1510.7975,1503.8675,1502.135,1500.4025
ADANIPOWER,143.14525,143.5605,143.97575,142.31475,141.8995,141.48425
ATGL,593.5408333,594.0816667,594.6225,592.4591667,591.9183333,591.3775
ABSLAMC,728.5908333,729.6816667,730.7725,726.4091667,725.3183333,724.2275
ABCAPITAL,349.6979167,349.9958333,350.29375,349.1020833,348.8041667,348.50625
ABFRL,76.49641667,76.61283333,76.72925,76.26358333,76.14716667,76.03075
ABLBL,132.4765,132.713,132.9495,132.0035,131.767,131.5305
ABREL,1782.335,1787.67,1793.005,1771.665,1766.33,1760.995
AEGISLOG,762.6745833,763.9991667,765.32375,760.0254167,758.7008333,757.37625
AEGISVOPAK,265.01875,266.1875,267.35625,262.68125,261.5125,260.34375
AFCONS,400.6575,401.015,401.3725,399.9425,399.585,399.2275
AFFLE,1648.798333,1651.896667,1654.995,1642.601667,1639.503333,1636.405
AIAENG,3853.195833,3862.591667,3871.9875,3834.404167,3825.008333,3815.6125
AJANTPHARM,2634.733333,2640.966667,2647.2,2622.266667,2616.033333,2609.8
AKUMS,420.7766667,421.2533333,421.73,419.8233333,419.3466667,418.87
AKZOINDIA,3554.7075,3567.715,3580.7225,3528.6925,3515.685,3502.6775
APLLTD,903.2808333,904.8116667,906.3425,900.2191667,898.6883333,897.1575
ALKEM,5663.995833,5668.991667,5673.9875,5654.004167,5649.008333,5644.0125
ALKYLAMINE,1661.571667,1664.743333,1667.915,1655.228333,1652.056667,1648.885
ALOKINDS,16.38016667,16.40033333,16.4205,16.33983333,16.31966667,16.2995
ARE&M,941.2395833,942.1791667,943.11875,939.3604167,938.4208333,937.48125
AMBER,6783.641667,6817.283333,6850.925,6716.358333,6682.716667,6649.075
AMBUJACEM,538.3575,539.815,541.2725,535.4425,533.985,532.5275
ANANDRATHI,2939.085833,2943.971667,2948.8575,2929.314167,2924.428333,2919.5425
ANANTRAJ,541.5875,542.825,544.0625,539.1125,537.875,536.6375
ANGELONE,2631.141667,2637.283333,2643.425,2618.858333,2612.716667,2606.575
APARINDS,8867.3,8887.1,8906.9,8827.7,8807.9,8788.1
APLAPOLLO,1775.035833,1777.171667,1779.3075,1770.764167,1768.628333,1766.4925
APOLLOHOSP,7207.370833,7213.741667,7220.1125,7194.629167,7188.258333,7181.8875
APOLLOTYRE,531.7641667,532.9283333,534.0925,529.4358333,528.2716667,527.1075
APTUS,284.8804167,285.8108333,286.74125,283.0195833,282.0891667,281.15875
ASAHIINDIA,1053.999167,1056.098333,1058.1975,1049.800833,1047.701667,1045.6025
ASHOKLEY,160.54275,160.8755,161.20825,159.87725,159.5445,159.21175
ASIANPAINT,2961.939167,2966.678333,2971.4175,2952.460833,2947.721667,2942.9825
ASTERDM,654.3408333,655.4316667,656.5225,652.1591667,651.0683333,649.9775
ASTRAL,1444.5775,1448.455,1452.3325,1436.8225,1432.945,1429.0675
ASTRAZEN,9220.691667,9238.383333,9256.075,9185.308333,9167.616667,9149.925
ATHERENERG,676.06375,679.9275,683.79125,668.33625,664.4725,660.60875
ATUL,5764.754167,5773.508333,5782.2625,5747.245833,5738.491667,5729.7375
AUBANK,949.69875,950.6475,951.59625,947.80125,946.8525,945.90375
AUROPHARMA,1224.7225,1226.345,1227.9675,1221.4775,1219.855,1218.2325
AIIL,2604.005,2607.91,2611.815,2596.195,2592.29,2588.385
DMART,3916.755833,3920.211667,3923.6675,3909.844167,3906.388333,3902.9325
AWL,249.6854167,250.1208333,250.55625,248.8145833,248.3791667,247.94375
AXISBANK,1281.228333,1282.456667,1283.685,1278.771667,1277.543333,1276.315
BAJAJ-AUTO,9094.808333,9104.616667,9114.425,9075.191667,9065.383333,9055.575
BAJFINANCE,1030.594167,1032.088333,1033.5825,1027.605833,1026.111667,1024.6175
BAJAJFINSV,2051.7575,2054.315,2056.8725,2046.6425,2044.085,2041.5275
BAJAJHLDNG,11145.40833,11172.81667,11200.225,11090.59167,11063.18333,11035.775
BAJAJHFL,96.51258333,96.71516667,96.91775,96.10741667,95.90483333,95.70225
BALKRISIND,2407.631667,2411.463333,2415.295,2399.968333,2396.136667,2392.305
BALRAMCHIN,442.5095833,443.1191667,443.72875,441.2904167,440.6808333,440.07125
BANDHANBNK,146.30975,146.4995,146.68925,145.93025,145.7405,145.55075
BANKBARODA,288.59875,288.9975,289.39625,287.80125,287.4025,287.00375
